date,q2_cost,q2_emergency_kwh,q3_cost,q3_emergency_kwh,q3_adjustment_abs_kwh,q3_adjustment_cost,q4_cost,q4_emergency_kwh,q4_3_cost,q4_3_emergency_kwh
2025-02-01,56028.4298360915,4.37833333333333,58033.80301933686,4.37833333333333,3472.3094067143393,3594.2562644807535,47072.52659987342,4.37833333333333,54415.54718085854,4.37833333333333
2025-02-02,59769.70896665107,280.0954700000001,65500.069032603016,1060.7221999999997,3082.8101566718074,3599.0358169041497,65999.01368556698,280.0954700000001,72630.25863924743,1060.7221999999997
2025-02-03,59055.97390329116,622.26052,66613.58238838307,2147.49987875,1858.2020968055585,1793.9097837959123,66207.62643469832,622.26052,78901.49943454823,2147.49987875
2025-02-04,58627.62231785315,661.3093216666662,66812.59276634641,1591.0055033333335,2865.0435802777774,2631.581504253792,65767.18163632708,661.3093216666659,77427.42093699118,1591.0055033333335
2025-02-05,59121.63906311256,1092.8582450000006,71063.20830625427,2313.547527916667,5383.223567129629,5630.70850991487,66422.9761493966,1092.8582450000004,79223.29314442263,2313.5475279166667
2025-02-06,59429.7423599209,1142.5943333333344,68865.97672569696,2570.4559712500004,4229.956347661182,2786.980294317689,66382.46365590816,1142.5943333333348,79767.68017045701,2570.455971250001
2025-02-07,55158.101289318256,0.0,57314.26162999926,0.0,2896.4724920833346,2777.583674177634,45263.213562401,0.0,46833.015051419396,0.0
2025-02-08,54902.66273118775,0.0,61524.89125643653,0.0,7934.968788132715,8371.416661077794,45220.22326701031,0.0,47639.12650132476,0.0
2025-02-09,58251.70730108099,1035.8141300000002,68805.56785818574,2226.3194320833336,4094.154257283949,4007.9058821264075,64837.22511719176,1035.8141300000002,78021.86031150179,2226.3194320833336
2025-02-10,58838.8913953845,1105.7294533333325,64241.8789766572,2688.9490025,2037.72534441358,1976.3962363381174,63566.27926849888,1105.7294533333325,72575.8056302516,2688.9490025
2025-02-11,58084.29648338149,848.9832333333331,67921.46428477576,2858.581467083333,5198.438402418726,4044.1106631544426,63330.31201350218,848.9832333333331,74131.6890380109,2858.581467083333
2025-02-12,57028.605013524204,861.0550400000005,64417.66607261056,2814.3106104166677,1398.9217267009578,1040.5726764939873,61773.197206425175,861.0550400000006,73320.9977297695,2814.3106104166677
